quarter,ticker,total_obligation,num_awards,avg_award_size,max_award,unique_agencies,unique_naics,expected_obligation,ugr_surprise,ugr_surprise_pct,obligation_qoq,obligation_yoy,awards_qoq,awards_yoy,agency_concentration,ugr_surprise_pct_rank,obligation_qoq_rank,obligation_yoy_rank,awards_qoq_rank,awards_yoy_rank,agency_concentration_rank,composite_signal,composite_rank
2023Q1,BA,8907709861.68,6203,1436032.5425890698,2255625408.0,10,115,4193080668.080001,4714629193.599999,1.1243831366017611,1.2149157728578122,1.9182866502942064,0.06416194887630812,0.10452279202279202,0.1,0.9,0.7758620689655172,0.8559322033898306,0.2542372881355932,0.7155172413793104,0.3140495867768595,0.6359330647745185,0.7666666666666667
2023Q1,BAH,1567641867.28,1304,1202179.3460736196,52274686.52,19,30,1601275739.1275,-33633871.847500086,-0.02100442230257385,1.0732725897989792,0.18579365110690418,0.5040369088811996,-0.055756698044895005,0.05263157894736842,0.5416666666666666,0.7241379310344828,0.4915254237288136,0.7457627118644068,0.4396551724137931,0.11570247933884298,0.5097417308411677,0.55
2023Q1,GD,11224152791.119999,3147,3566619.889138862,1800000000.0,21,130,6267560905.247499,4956591885.872499,0.7908326637436591,2.5673463575847233,0.1542702788271427,0.24633663366336633,0.025749674054758802,0.047619047619047616,0.8416666666666667,0.9051724137931034,0.4661016949152542,0.5423728813559322,0.603448275862069,0.08264462809917356,0.5735677601153665,0.6583333333333333
2023Q1,LDOS,2421238644.15,1438,1683754.272705146,136167778.94,24,61,2412366131.335,8872512.815000057,0.003677929606021297,0.5112235874944902,0.36964845788337486,0.3241252302025783,0.011963406052076003,0.041666666666666664,0.5583333333333333,0.5344827586206896,0.5932203389830508,0.5847457627118644,0.5775862068965517,0.049586776859504134,0.482992529567499,0.49166666666666664
2023Q1,LMT,14341574456.37,11803,1215078.7474684403,969280761.0,10,94,14854893561.485,-513319105.1149998,-0.03455555591767463,-0.36034089745146247,0.4440141791858538,0.16148395985042316,0.016798759476223293,0.1,0.525,0.23275862068965517,0.6016949152542372,0.4406779661016949,0.5948275862068966,0.3140495867768595,0.4515014458382238,0.4166666666666667
2023Q1,NOC,6717828505.49,2575,2608865.439025243,2100000000.0,10,85,3575539252.9025,3142289252.5874996,0.8788294660831082,0.9579860670589423,0.9732426008351321,0.11956521739130435,-0.014919663351185922,0.1,0.8583333333333333,0.6982758620689655,0.7372881355932204,0.3813559322033898,0.5172413793103449,0.3140495867768595,0.5844240382143522,0.675
2023Q1,RTX,9566954144.92,6457,1481640.7224593465,1225368567.01,14,115,6894893225.789999,2672060919.130001,0.3875420302573059,0.7317103588397965,1.081042278878166,0.09738273283480625,0.004042917120199036,0.07142857142857142,0.7333333333333333,0.6120689655172413,0.7542372881355932,0.3305084745762712,0.5603448275862069,0.2024793388429752,0.5321620379986035,0.5833333333333334
2023Q1,SAIC,1393744707.55,89243,15617.412094506011,102475669.0,17,107,1261744941.2475,131999766.30250001,0.10461683814796238,0.6428707862863152,0.3429242887795417,0.19393420471724618,0.07546305780841397,0.058823529411764705,0.5916666666666667,0.5948275862068966,0.576271186440678,0.4915254237288136,0.6724137931034483,0.14049586776859505,0.5112000873191831,0.5583333333333333
2023Q2,BA,4005774045.72,6002,667406.538773742,629776662.02,8,95,5656913985.365001,-1651139939.645001,-0.29187997977637,-0.55030259091033,0.27846454796084,-0.03240367564081896,0.005023442732752847,0.125,0.3333333333333333,0.19658119658119658,0.7586206896551724,0.423728813559322,0.6434782608695652,0.40082644628099173,0.4594281233799302,0.3949579831932773
2023Q2,BAH,2075055963.5,1362,1523535.9497063141,159429975.15,17,32,1662681428.4475002,412374535.0524998,0.2480177669618571,0.32367985750496014,0.22035075363538162,0.04447852760736196,0.002207505518763797,0.058823529411764705,0.7833333333333333,0.6923076923076923,0.7327586206896551,0.635593220338983,0.6347826086956522,0.17355371900826447,0.6087215323955968,0.7310924369747899
2023Q2,GD,5931226175.63,3184,1862822.2913410803,1075896000.0,22,134,6642592908.68,-711366733.0500002,-0.10709172499799649,-0.47156580224723094,-0.017009843753867077,0.011757229107086114,-0.19023397761953204,0.045454545454545456,0.48333333333333334,0.21367521367521367,0.5517241379310345,0.5423728813559322,0.25217391304347825,0.07024793388429752,0.35225456887054823,0.21008403361344538
2023Q2,LDOS,2453476683.15,1361,1802701.4571271124,277585346.0,21,62,2575730519.8075004,-122253836.65750027,-0.047463752794541965,0.013314688776296763,-0.032382029158777095,-0.05354659248956885,-0.11450878334417697,0.047619047619047616,0.5666666666666667,0.5555555555555556,0.5344827586206896,0.3813559322033898,0.3826086956521739,0.08677685950413223,0.4179077447004346,0.31932773109243695
2023Q2,LMT,19361866198.09,10469,1849447.530622791,7795532764.0,9,87,15957351989.917501,3404514208.1724987,0.21335082476864634,0.35005164579333686,0.4123114892313077,-0.11302211302211303,-0.16906103659020558,0.1111111111111111,0.7583333333333333,0.7008547008547008,0.8189655172413793,0.2796610169491525,0.30434782608695654,0.3512396694214876,0.5355670106478351,0.6134453781512605
2023Q2,NOC,2818933524.11,2618,1076750.7731512606,158126213.0,11,91,4403880999.1075,-1584947474.9975,-0.35989788900261127,-0.580380249092949,-0.3484925333056801,0.016699029126213592,0.018280824581874758,0.09090909090909091,0.275,0.17094017094017094,0.28448275862068967,0.576271186440678,0.6608695652173913,0.2768595041322314,0.3740705308918602,0.25210084033613445
2023Q2,RTX,8129515730.43,6487,1253201.1300184985,2023073135.86,16,127,8137333374.1375,-7817643.707499504,-0.000960713215012912,-0.15025037150964832,-0.1383264482803123,0.004646120489391358,0.03493937460114869,0.0625,0.6,0.4017094017094017,0.4224137931034483,0.5169491525423728,0.7130434782608696,0.19834710743801653,0.47541048884235143,0.4369747899159664
2023Q2,SAIC,1436172592.02,87797,16357.877740925089,58581248.0,18,108,1350720343.02,85452249.0,0.06326420523803032,0.030441647053556935,0.032148997350861935,-0.01620295149199377,0.020539346739509474,0.05555555555555555,0.6416666666666667,0.5811965811965812,0.5775862068965517,0.4661016949152542,0.6782608695652174,0.15289256198347106,0.5162840968706237,0.5462184873949579
2023Q3,BA,6854529510.5,6270,1093226.3972089314,1713444260.0,11,112,5875040107.957501,979489402.5424986,0.16672046225111217,0.7111622952931593,0.044104501734480536,0.04465178273908697,-0.021688250897175847,0.09090909090909091,0.4406779661016949,0.6521739130434783,0.5086206896551724,0.2956521739130435,0.5130434782608696,0.3235294117647059,0.45561627212316075,0.4
2023Q3,BAH,2971007351.54,1705,1742526.305888563,115270651.17,20,34,1756351249.2000003,1214656102.3399997,0.6915792629141027,0.4317721564139395,0.13112819653916996,0.25183553597650515,-0.06318681318681318,0.05,0.7203389830508474,0.5391304347826087,0.5948275862068966,0.5826086956521739,0.40869565217391307,0.15126050420168066,0.4994769760113533,0.48695652173913045
2023Q3,GD,6840108059.54,3744,1826951.938979701,1593237569.0,22,137,6616934149.567499,223173909.9725008,0.03372769094083973,0.153236760325273,0.10932690961107336,0.17587939698492464,-0.040983606557377046,0.045454545454545456,0.3983050847457627,0.4,0.5862068965517241,0.4260869565217391,0.46956521739130436,0.11764705882352941,0.39963520233900995,0.25217391304347825
2023Q3,LDOS,3978200360.31,4371,910135.0629855868,266234548.16,28,75,2555203680.7325,1422996679.5774999,0.556901467506328,0.6214543173087826,0.06257384395934018,2.2116091109478324,1.0883898709985667,0.03571428571428571,0.652542372881356,0.6086956521739131,0.5344827586206896,0.991304347826087,0.9565217391304348,0.04201680672268908,0.6309272795591948,0.808695652173913
2023Q3,LMT,13807395691.13,11787,1171408.8140434376,1315650774.26,10,92,17370482157.6075,-3563086466.477499,-0.20512306072730546,-0.28687681497912304,0.03365516931476154,0.12589550100296112,-0.1040589844937671,0.1,0.2542372881355932,0.19130434782608696,0.5,0.3391304347826087,0.3217391304347826,0.36554621848739494,0.3286595699444111,0.1391304347826087
2023Q3,NOC,3665807594.5,3110,1178716.2683279742,345921509.3,11,100,4026917827.0575,-361110232.5574999,-0.0896741001594676,0.3004235691075322,0.1674842601494349,0.18792971734148206,0.05245346869712352,0.09090909090909091,0.2796610169491525,0.4608695652173913,0.6637931034482759,0.45217391304347826,0.6347826086956522,0.3235294117647059,0.46913493651977606,0.41739130434782606
2023Q3,RTX,7571469828.66,7111,1064754.5814456476,395083503.12,16,120,7811070883.26,-239601054.60000038,-0.030674546189753862,-0.068644421177654,-0.056308192448425116,0.09619238476953908,-0.003922117943689593,0.0625,0.3389830508474576,0.2782608695652174,0.4396551724137931,0.33043478260869563,0.5304347826086957,0.20168067226890757,0.3532415550521279,0.1565217391304348
2023Q3,SAIC,2120529328.28,92753,22862.11042532317,105770540.6,17,106,1361903686.94,758625641.3399999,0.5570332532431288,0.47651427137837327,0.1984873148661509,0.05644839800904359,-0.03384304493656382,0.058823529411764705,0.6610169491525424,0.5565217391304348,0.6896551724137931,0.30434782608695654,0.4782608695652174,0.18487394957983194,0.4791127509881294,0.45217391304347826
2023Q4,BA,6293466923.66,5921,1062906.0840499916,2325052415.0,11,99,5947426446.725,346040476.93499947,0.05818322934040648,-0.08185282242647661,0.5648802410078123,-0.055661881977671454,0.01578315319951964,0.09090909090909091,0.7627118644067796,0.711864406779661,0.8,0.8571428571428571,0.6068376068376068,0.25210084033613445,0.6651095959171732,0.7966101694915254
2023Q4,BAH,1086214208.98,870,1248522.0792873562,55415445.02,17,26,1842456174.5975003,-756241965.6175003,-0.41045316357807404,-0.6343953142973648,0.43656417523210767,-0.4897360703812317,0.0034602076124567475,0.058823529411764705,0.3813559322033898,0.3050847457627119,0.7478260869565218,0.3025210084033613,0.5811965811965812,0.11764705882352941,0.4059385688910159,0.3305084745762712
2023Q4,GD,3387866710.49,2125,1594290.2167011763,1552544940.0,20,127,6785461539.7075,-3397594829.2175007,-0.5007168354481544,-0.50470567409167,0.07675779139523561,-0.4324252136752137,-0.15841584158415842,0.05,0.3050847457627119,0.4915254237288136,0.4956521739130435,0.37815126050420167,0.29914529914529914,0.07983193277310924,0.34156513930452986,0.211864406779661
2023Q4,LDOS,1937086629.74,4613,419919.0612920009,142535738.95,23,57,2613771678.1475005,-676685048.4075005,-0.2588921802408916,-0.5130746432316312,0.20903861044683464,0.055364905056051246,3.2476979742173113,0.043478260869565216,0.5423728813559322,0.4745762711864407,0.6260869565217392,0.9159663865546218,0.9914529914529915,0.029411764705882353,0.5966445419629346,0.6694915254237288
2023Q4,LMT,12202915801.13,9746,1252094.7877211163,663134660.0,8,79,17482872211.267498,-5279956410.137499,-0.30200737878382655,-0.11620438248399971,-0.4557287839230807,-0.17315686773564096,-0.040936823459948826,0.125,0.4661016949152542,0.6864406779661016,0.1565217391304348,0.7899159663865546,0.4700854700854701,0.3277310924369748,0.48279944015346504,0.4915254237288136
2023Q4,NOC,3915675671.04,2312,1693631.3456055364,452351975.72,7,88,4158389636.5225,-242713965.48250008,-0.05836729760741525,0.06816180885076727,0.14126736053956077,-0.2565916398713826,0.0052173913043478265,0.14285714285714285,0.6779661016949152,0.7457627118644068,0.5652173913043478,0.6470588235294118,0.5897435897435898,0.36134453781512604,0.5978488593252996,0.6779661016949152
2023Q4,RTX,4238990973.27,6952,609751.2907465477,343359249.0,13,119,7698127288.535,-3459136315.265,-0.4493477680496102,-0.44013631841676143,-0.2327020211194465,-0.022359724370693293,0.18150917743031952,0.07692307692307693,0.3305084745762712,0.5338983050847458,0.2782608695652174,0.8823529411764706,0.8034188034188035,0.19747899159663865,0.5043197309030245,0.5254237288135594
2023Q4,SAIC,1037281606.24,45519,22787.882120433227,174978000.0,15,91,1449701481.5525,-412419875.3125,-0.2844860687255664,-0.5108383588915707,0.22269138588474702,-0.5092449839897362,-0.39102572678502145,0.06666666666666667,0.5084745762711864,0.4830508474576271,0.6347826086956522,0.2605042016806723,0.1452991452991453,0.14285714285714285,0.36249475371023765,0.2457627118644068
2024Q1,BA,5350336365.43,6326,845769.2642159343,1190593943.0,9,102,6515370085.390001,-1165033719.960001,-0.17881313028901621,-0.14985866608503867,-0.39935893192406663,0.0684006080054045,0.01982911494438175,0.1111111111111111,0.7068965517241379,0.6,0.5043478260869565,0.5263157894736842,0.6837606837606838,0.3177966101694915,0.556519576869159,0.5217391304347826
2024Q1,BAH,1770575453.69,1152,1536957.8591059027,95121587.0,18,27,1924979847.8250003,-154404394.13500023,-0.08021091457630528,0.6300426187138939,0.12945149695581182,0.32413793103448274,-0.1165644171779141,0.05555555555555555,0.8017241379310345,0.8260869565217391,0.7652173913043478,0.7368421052631579,0.5811965811965812,0.09745762711864407,0.6347541332225841,0.7391304347826086
2024Q1,GD,1711401555.91,2113,809939.2124514908,130617903.6,21,90,6845838434.195,-5134436878.285,-0.7500084799896036,-0.4948438937662711,-0.8475251016482975,-0.005647058823529412,-0.32856688910073084,0.047619047619047616,0.25862068965517243,0.3739130434782609,0.1826086956521739,0.4473684210526316,0.358974358974359,0.059322033898305086,0.2801345404518172,0.2
2024Q1,LDOS,1867292453.58,5969,312831.70607807004,117000000.0,22,64,2697500579.3375,-830208125.7575002,-0.3077693966469499,-0.03603048778947383,-0.22878628337954207,0.29395187513548665,3.150904033379694,0.045454545454545456,0.5948275862068966,0.6347826086956522,0.6,0.7017543859649122,0.9829059829059829,0.038135593220338986,0.5920676928322972,0.591304347826087
2024Q1,LMT,7242926559.54,10165,712535.8150063945,523101036.69,10,78,14928438036.68,-7685511477.14,-0.5148235507463187,-0.40645935138966544,-0.4949699155016444,0.042991996716601685,-0.1387782767093112,0.1,0.47413793103448276,0.4260869565217391,0.41739130434782606,0.49122807017543857,0.5641025641025641,0.2669491525423729,0.43998266312073725,0.34782608695652173
2024Q1,NOC,3149709664.41,3000,1049903.22147,350000000.0,7,96,4279561323.785,-1129851659.375,-0.2640110922340325,-0.19561528353714755,-0.5311416982681282,0.2975778546712803,0.1650485436893204,0.14285714285714285,0.6206896551724138,0.5739130434782609,0.391304347826087,0.7105263157894737,0.8034188034188035,0.3855932203389831,0.5809075643373369,0.5739130434782609
2024Q1,RTX,3195028533.85,6062,527058.4846337842,168592535.45,15,123,7376732669.320001,-4181704135.4700007,-0.5668775490349276,-0.24627616477670322,-0.6660349275796892,-0.12802071346375143,-0.06117391977698622,0.06666666666666667,0.4396551724137931,0.5304347826086957,0.2782608695652174,0.35964912280701755,0.6068376068376068,0.1440677966101695,0.39315089180708335,0.30434782608695654
